Name,LSFormula,RT,MainIon,Calc Mass,Class,FA,FA Group Key,C,H,N,O,P,S,Formula
PE(12:0p_6:0),C23 H46 O7 N1 P1,3.108,+H,479.3012,PE,12:0p_6:0,18:0p,23,46,1,7,1,,C23H46NO7P
PE(12:0p_6:0),C23 H46 O7 N1 P1,3.685,+H,479.3012,PE,12:0p_6:0,18:0p,23,46,1,7,1,,C23H46NO7P
PE(16:0_16:0),C37 H74 O8 N1 P1,11.433,+H,691.5152,PE,16:0_16:0,32:0,37,74,1,8,1,,C37H74NO8P
PE(16:0_16:1),C37 H72 O8 N1 P1,9.486,+H,689.4996,PE,16:0_16:1,32:1,37,72,1,8,1,,C37H72NO8P
PE(16:0_16:1),C37 H72 O8 N1 P1,10.732,+H,689.4996,PE,16:0_16:1,32:1,37,72,1,8,1,,C37H72NO8P
PE(16:0_18:1),C39 H76 O8 N1 P1,11.614,+H,717.5309,PE,16:0_18:1,34:1,39,76,1,8,1,,C39H76NO8P
PE(16:0_18:1),C39 H76 O8 N1 P1,11.718,+H,717.5309,PE,16:0_18:1,34:1,39,76,1,8,1,,C39H76NO8P
PE(16:0_18:1),C39 H76 O8 N1 P1,11.733,+H,717.5309,PE,16:0_18:1,34:1,39,76,1,8,1,,C39H76NO8P
PE(16:0_18:1),C39 H76 O8 N1 P1,12.207,+H,717.5309,PE,16:0_18:1,34:1,39,76,1,8,1,,C39H76NO8P
PE(16:0_18:1),C39 H76 O8 N1 P1,13.044,+H,717.5309,PE,16:0_18:1,34:1,39,76,1,8,1,,C39H76NO8P
PE(16:0_23:0),C44 H88 O8 N1 P1,15.728,+H,789.6248,PE,16:0_23:0,39:0,44,88,1,8,1,,C44H88NO8P
PE(16:1_14:0),C35 H68 O8 N1 P1,7.627,+H,661.4683,PE,16:1_14:0,30:1,35,68,1,8,1,,C35H68NO8P
PE(16:1_16:1),C37 H70 O8 N1 P1,7.795,+H,687.4839,PE,16:1_16:1,32:2,37,70,1,8,1,,C37H70NO8P
PE(16:1_18:1),C39 H74 O8 N1 P1,9.621,+H,715.5152,PE,16:1_18:1,34:2,39,74,1,8,1,,C39H74NO8P
PE(16:1_18:1),C39 H74 O8 N1 P1,9.79,+H,715.5152,PE,16:1_18:1,34:2,39,74,1,8,1,,C39H74NO8P
PE(16:1_18:1),C39 H74 O8 N1 P1,9.871,+H,715.5152,PE,16:1_18:1,34:2,39,74,1,8,1,,C39H74NO8P
PE(16:1_18:1),C39 H74 O8 N1 P1,10.03,+H,715.5152,PE,16:1_18:1,34:2,39,74,1,8,1,,C39H74NO8P
PE(16:1_18:1),C39 H74 O8 N1 P1,10.753,+H,715.5152,PE,16:1_18:1,34:2,39,74,1,8,1,,C39H74NO8P
PE(16:1_18:2),C39 H72 O8 N1 P1,8.154,+H,713.4996,PE,16:1_18:2,34:3,39,72,1,8,1,,C39H72NO8P
PE(16:1_18:2),C39 H72 O8 N1 P1,8.668,+H,713.4996,PE,16:1_18:2,34:3,39,72,1,8,1,,C39H72NO8P
PE(16:1_18:2),C39 H72 O8 N1 P1,9.334,+H,713.4996,PE,16:1_18:2,34:3,39,72,1,8,1,,C39H72NO8P
PE(16:1_18:3),C39 H70 O8 N1 P1,7.09,+H,711.4839,PE,16:1_18:3,34:4,39,70,1,8,1,,C39H70NO8P
PE(16:1_20:1),C41 H78 O8 N1 P1,8.299,+H,743.5465,PE,16:1_20:1,36:2,41,78,1,8,1,,C41H78NO8P
PE(16:4_21:1),C42 H74 O8 N1 P1,6.165,+H,751.5152,PE,16:4_21:1,37:5,42,74,1,8,1,,C42H74NO8P
PE(17:0_19:0),C41 H82 O8 N1 P1,11.559,+H,747.5778,PE,17:0_19:0,36:0,41,82,1,8,1,,C41H82NO8P
PE(17:0e),C22 H46 O7 N1 P1,3.441,+H,467.3012,PE,17:0e,17:0e,22,46,1,7,1,,C22H46NO7P
PE(17:1_16:0),C38 H74 O8 N1 P1,10.819,+H,703.5152,PE,17:1_16:0,33:1,38,74,1,8,1,,C38H74NO8P
PE(17:1_18:1),C40 H76 O8 N1 P1,10.633,+H,729.5309,PE,17:1_18:1,35:2,40,76,1,8,1,,C40H76NO8P
PE(18:0_18:1),C41 H80 O8 N1 P1,14.119,+H,745.5622,PE,18:0_18:1,36:1,41,80,1,8,1,,C41H80NO8P
PE(18:0_18:3),C41 H76 O8 N1 P1,10.01,+H,741.5309,PE,18:0_18:3,36:3,41,76,1,8,1,,C41H76NO8P
PE(18:0_18:3),C41 H76 O8 N1 P1,10.756,+H,741.5309,PE,18:0_18:3,36:3,41,76,1,8,1,,C41H76NO8P
PE(18:0e_18:1),C41 H82 O7 N1 P1,16.521,+H,731.5829,PE,18:0e_18:1,36:1e,41,82,1,7,1,,C41H82NO7P
PE(18:0e_18:2),C41 H80 O7 N1 P1,13.943,+H,729.5672,PE,18:0e_18:2,36:2e,41,80,1,7,1,,C41H80NO7P
PE(18:0e_18:3),C41 H78 O7 N1 P1,12.325,+H,727.5516,PE,18:0e_18:3,36:3e,41,78,1,7,1,,C41H78NO7P
PE(18:0p_18:1),C41 H80 O7 N1 P1,15.221,+H,729.5672,PE,18:0p_18:1,36:1p,41,80,1,7,1,,C41H80NO7P
PE(18:0p_18:2),C41 H78 O7 N1 P1,13.498,+H,727.5516,PE,18:0p_18:2,36:2p,41,78,1,7,1,,C41H78NO7P
PE(18:1_18:1),C41 H78 O8 N1 P1,11.761,+H,743.5465,PE,18:1_18:1,36:2,41,78,1,8,1,,C41H78NO8P
PE(18:1_18:1),C41 H78 O8 N1 P1,12.12,+H,743.5465,PE,18:1_18:1,36:2,41,78,1,8,1,,C41H78NO8P
PE(18:1_18:1),C41 H78 O8 N1 P1,12.284,+H,743.5465,PE,18:1_18:1,36:2,41,78,1,8,1,,C41H78NO8P
PE(18:1_18:1),C41 H78 O8 N1 P1,12.519,+H,743.5465,PE,18:1_18:1,36:2,41,78,1,8,1,,C41H78NO8P
PE(18:1_18:1),C41 H78 O8 N1 P1,13.259,+H,743.5465,PE,18:1_18:1,36:2,41,78,1,8,1,,C41H78NO8P
PE(18:1_18:2),C41 H76 O8 N1 P1,11.418,+H,741.5309,PE,18:1_18:2,36:3,41,76,1,8,1,,C41H76NO8P
PE(18:1p_18:1),C41 H78 O7 N1 P1,12.36,+H,727.5516,PE,18:1p_18:1,36:2p,41,78,1,7,1,,C41H78NO7P
PE(18:2_18:2),C41 H74 O8 N1 P1,8.696,+H,739.5152,PE,18:2_18:2,36:4,41,74,1,8,1,,C41H74NO8P
PE(18:2e_19:0),C42 H82 O7 N1 P1,16.923,+H,743.5829,PE,18:2e_19:0,37:2e,42,82,1,7,1,,C42H82NO7P
PE(18:3_18:2),C41 H72 O8 N1 P1,7.412,+H,737.4996,PE,18:3_18:2,36:5,41,72,1,8,1,,C41H72NO8P
PE(18:3_18:3),C41 H70 O8 N1 P1,6.475,+H,735.4839,PE,18:3_18:3,36:6,41,70,1,8,1,,C41H70NO8P
